%
% ARFF file 
%
@relation vegetables


@attribute plant_height numeric
@attribute crop_size numeric
@attribute color {zielony, zolty, czerwony, brazowy, czarny}
@attribute crop {owoce, bulwy,nasiona}
@attribute name? {buraki, ziemniaki, gruszki, wisnie, truskawki, maliny, jagody, pszenica}

@data
82.10,	1.62,	zolty,		owoce,	wisnie
52.85,	4.88,	czarny,		owoce,	maliny
19.87,	4.84,	zolty,		owoce,	maliny
69.53,	8.42,	zolty,		owoce,	gruszki
12.89,	4.23,	zielony,	owoce,	truskawki
70.92,	8.57,	czerwony,	owoce,	gruszki
17.41,	4.09,	brazowy,	nasiona,	pszenica
47.48,	6.18,	zielony,	bulwy,	buraki
24.18,	5.21,	czerwony,	bulwy,	buraki
24.25,	3.28,	brazowy,	bulwy,	ziemniaki
40.00,	2.33,	zolty,		bulwy,	buraki
48.74,	4.60,	zielony,	owoce,	maliny
83.63,	4.35,	zielony,	owoce,	gruszki
46.12,	1.39,	czarny,		owoce,	jagody
17.23,	8.86,	zielony,	bulwy,	ziemniaki
17.96,	2.23,	czerwony,	bulwy,	buraki
9.03,	2.19,	czerwony,	owoce,	truskawki
39.78,	4.80,	zolty,		owoce,	maliny
71.26,	1.41,	zielony,	owoce,	wisnie
22.73,	3.75,	zolty,		bulwy,	ziemniaki
90.13,	2.34,	brazowy,	owoce,	wisnie
94.10,	6.19,	zielony,	owoce,	gruszki
3.18,	3.30,	czerwony,	owoce,	truskawki
22.37,	5.31,	zolty,		bulwy,		ziemniaki
27.55,	9.81,	brazowy,	bulwy,		ziemniaki
44.33,	8.14,	czerwony,	bulwy,		buraki
22.15,	3.23,	czerwony,	bulwy,		buraki
48.04,	7.14,	brazowy,	nasiona,	pszenica
84.89,	1.54,	zolty,		owoce,		wisnie
31.20,	4.66,	brazowy,	bulwy,		ziemniaki
45.34,	9.59,	czarny,		bulwy,		buraki
39.44,	6.30,	czerwony,	bulwy,		buraki
29.63,	7.65,	zielony,	bulwy,		ziemniaki
28.64,	1.96,	zolty,		bulwy,		ziemniaki
49.94,	5.47,	zielony,	owoce,		gruszki
34.58,	4.78,	brazowy,	nasiona,	pszenica
51.42,	9.04,	zielony,	owoce,		gruszki
74.16,	1.10,	brazowy,	nasiona,	pszenica
55.69,	5.63,	zielony,	owoce,		gruszki
10.03,	2.83,	zielony,	owoce,		truskawki
97.52,	9.37,	zolty,		nasiona,	pszenica
15.80,	3.79,	zolty,		nasiona,	pszenica
96.14,	2.38,	czerwony,	owoce,		wisnie
97.69,	6.35,	zolty,		owoce,		wisnie
40.92,	4.42,	czarny,		bulwy,		buraki
44.10,	1.60,	czarny,		nasiona,	pszenica
